book,symbol,entry_server_time,exit_server_time,dir,entry_mid,exit_mid,stop_dist,exit_reason
gotobi,USDJPY,2019-02-05 02:55:00,2019-02-05 08:00:00,SELL,109.99266,109.81984,0.32402,signal
gotobi,USDJPY,2019-02-08 02:55:00,2019-02-08 08:00:00,SELL,109.80579,109.75096,0.28274,signal
gotobi,USDJPY,2019-02-15 02:55:00,2019-02-15 08:00:00,SELL,110.39729,110.34391,0.287,signal
meanrev,GBPUSD,2019-02-18 01:00:00,2019-02-20 01:00:00,BUY,1.29028,1.30612,0.02373,signal
gotobi,USDJPY,2019-02-20 02:55:00,2019-02-20 08:00:00,SELL,110.73247,110.87336,0.26151,signal
gotobi,USDJPY,2019-02-25 02:55:00,2019-02-25 08:00:00,SELL,110.77663,110.63406,0.22579,signal
gotobi,USDJPY,2019-02-28 02:55:00,2019-02-28 08:00:00,SELL,110.83699,110.80715,0.25509,signal
meanrev,GBPUSD,2019-03-04 01:00:00,2019-03-11 01:00:00,SELL,1.32322,1.29844,0.02617,signal
gotobi,USDJPY,2019-03-05 02:55:00,2019-03-05 08:00:00,SELL,111.8712,111.91102,0.27777,signal
gotobi,USDJPY,2019-03-08 02:55:00,2019-03-08 08:00:00,SELL,111.52045,111.07699,0.25835,signal
gotobi,USDJPY,2019-03-15 03:55:00,2019-03-15 09:00:00,SELL,111.89438,111.65701,0.29974,signal
gotobi,USDJPY,2019-03-20 03:55:00,2019-03-20 09:00:00,SELL,111.62139,111.55683,0.26959,signal
meanrev,EURUSD,2019-03-22 01:00:00,2019-03-25 01:00:00,SELL,1.1374,1.1295,0.01588,signal
gotobi,USDJPY,2019-03-25 03:55:00,2019-03-25 09:00:00,SELL,109.89973,109.98301,0.31781,signal
meanrev,USDJPY,2019-03-27 01:00:00,2019-04-02 01:00:00,BUY,110.62835,111.4148,1.6934,signal
gotobi,USDJPY,2019-03-29 03:55:00,2019-03-29 09:00:00,SELL,110.9055,110.74614,0.33196,signal
gotobi,USDJPY,2019-04-05 03:55:00,2019-04-05 09:00:00,SELL,111.76586,111.67741,0.31304,signal
gotobi,USDJPY,2019-04-10 03:55:00,2019-04-10 09:00:00,SELL,111.15799,111.17277,0.29617,signal
meanrev,AUDUSD,2019-04-12 01:00:00,2019-04-24 01:00:00,SELL,0.71249,0.7099,0.0123,signal
